0,1,2,3,4,5,6
4.0,2.0,38.0,40.0,248.284,0.815401,114.286
4.0,2.0,39.0,9.0,8.0,176.715,1.0
4.0,2.0,40.0,23.0,168.284,102.059,0.571429
4.0,2.0,41.0,23.0,154.142,121.645,1.5
4.0,2.0,42.0,47.0,248.284,0.958097,0.875
4.0,2.0,43.0,30.0,182.426,113.281,1.4
4.0,2.0,44.0,76.0,341.421,0.819298,1.0
4.0,2.0,45.0,18.0,128.284,137.447,0.8
4.0,2.0,46.0,26.0,168.284,115.371,0.571429
4.0,3.0,1.0,16.0,128.284,122.175,2.0
4.0,3.0,2.0,21.0,16.0,103.084,0.428571
4.0,3.0,3.0,19.0,134.142,132.688,0.8
4.0,3.0,4.0,9.0,8.0,176.715,1.0
4.0,3.0,5.0,21.0,188.284,0.744391,1.0
4.0,3.0,6.0,29.0,182.426,109.505,1.0
4.0,3.0,7.0,33.0,222.426,0.838207,1.0
4.0,3.0,8.0,40.0,282.426,0.630172,1.125
4.0,3.0,9.0,72.0,330.711,0.827267,122.222
4.0,3.0,10.0,15.0,114.142,14.468,1.0
4.0,3.0,11.0,12.0,10.0,150.796,0.75
4.0,3.0,12.0,18.0,134.142,125.705,1.25
4.0,3.0,13.0,23.0,154.142,121.645,0.666667
4.0,3.0,14.0,28.0,222.426,0.711206,1.0
4.0,3.0,15.0,9.0,8.0,176.715,1.0
4.0,3.0,16.0,32.0,216.569,0.857372,0.75
4.0,3.0,17.0,72.0,327.279,0.844706,0.909091
4.0,3.0,18.0,28.0,182.426,105.729,1.0
4.0,3.0,19.0,19.0,134.142,132.688,1.25
4.0,3.0,20.0,48.0,244.853,10.061,1.0
4.0,3.0,21.0,9.0,8.0,176.715,1.0
4.0,3.0,22.0,33.0,188.284,116.976,1.4
4.0,3.0,23.0,9.0,8.0,176.715,1.0
4.0,3.0,24.0,15.0,114.142,14.468,1.0
4.0,3.0,25.0,23.0,154.142,121.645,1.5
4.0,3.0,26.0,17.0,128.284,129.811,0.8
4.0,3.0,27.0,23.0,168.284,102.059,1.75
4.0,3.0,28.0,33.0,242.426,0.705609,114.286
4.0,3.0,29.0,63.0,295.563,0.906252,1.0
4.0,3.0,30.0,62.0,307.279,0.825154,1.0
4.0,3.0,31.0,12.0,10.0,150.796,133.333
4.0,3.0,32.0,12.0,10.0,150.796,133.333
4.0,4.0,1.0,15.0,12.0,1.309,166.667
4.0,4.0,2.0,9.0,8.0,176.715,1.0
4.0,4.0,3.0,34.0,194.142,113.357,1.0
4.0,4.0,4.0,55.0,264.853,0.985288,0.888889
4.0,4.0,5.0,19.0,134.142,132.688,0.8
4.0,4.0,6.0,36.0,20.0,113.097,1.0
4.0,4.0,7.0,31.0,188.284,109.886,1.4
4.0,4.0,8.0,15.0,12.0,1.309,0.6
4.0,4.0,9.0,18.0,14.0,115.405,0.5
4.0,4.0,10.0,30.0,182.426,113.281,1.0
4.0,4.0,11.0,15.0,12.0,1.309,166.667
4.0,4.0,12.0,12.0,10.0,150.796,0.75
4.0,4.0,13.0,34.0,196.569,110.576,0.857143
4.0,4.0,14.0,30.0,182.426,113.281,1.0
4.0,4.0,15.0,16.0,12.0,139.626,1.0
4.0,4.0,16.0,15.0,12.0,1.309,166.667
4.0,4.0,17.0,15.0,12.0,1.309,0.6
4.0,4.0,18.0,35.0,216.569,0.93775,0.75
4.0,4.0,19.0,18.0,128.284,137.447,0.8
4.0,4.0,20.0,15.0,12.0,1.309,166.667
4.0,4.0,21.0,48.0,316.569,0.601888,0.727273
4.0,4.0,22.0,88.0,378.995,0.769885,0.916667
4.0,4.0,23.0,95.0,392.132,0.77637,0.857143
4.0,4.0,24.0,9.0,8.0,176.715,1.0
4.0,4.0,25.0,18.0,14.0,115.405,0.5
4.0,4.0,26.0,53.0,298.995,0.745003,0.727273
4.0,4.0,27.0,12.0,10.0,150.796,133.333
4.0,4.0,28.0,15.0,12.0,1.309,166.667
4.0,4.0,29.0,12.0,10.0,150.796,0.75
4.0,4.0,30.0,18.0,18.0,0.698132,4.5
4.0,4.0,31.0,6.0,6.0,209.439,1.5
4.0,4.0,32.0,6.0,6.0,209.439,1.5
4.0,5.0,1.0,15.0,12.0,1.309,166.667
4.0,5.0,2.0,9.0,8.0,176.715,1.0
4.0,5.0,3.0,15.0,12.0,1.309,0.6
4.0,5.0,4.0,12.0,10.0,150.796,0.75
4.0,5.0,5.0,20.0,168.284,0.887468,0.833333
4.0,5.0,6.0,49.0,24.0,106.901,1.0
4.0,5.0,7.0,42.0,22.0,109.047,116.667
4.0,5.0,8.0,123.0,512.132,0.58932,166.667
4.0,5.0,9.0,18.0,134.142,125.705,1.25
4.0,5.0,10.0,25.0,168.284,110.934,1.75
4.0,5.0,11.0,19.0,148.284,108.586,1.5
4.0,5.0,12.0,22.0,148.284,125.731,0.666667
4.0,5.0,13.0,35.0,210.711,0.990615,1.0
4.0,5.0,14.0,15.0,12.0,1.309,0.6
4.0,5.0,15.0,20.0,168.284,0.887468,1.2
4.0,5.0,16.0,26.0,168.284,115.371,0.833333
4.0,5.0,17.0,57.0,282.426,0.897995,142.857
4.0,5.0,18.0,15.0,12.0,1.309,0.6
4.0,5.0,19.0,33.0,190.711,114.018,116.667
4.0,5.0,20.0,12.0,10.0,150.796,133.333
4.0,5.0,21.0,35.0,230.711,0.826309,114.286
4.0,5.0,22.0,9.0,8.0,176.715,1.0
