Folder,Image,Label,Area,Perimeter,Circularity,Aspect_Ratio,,,,,,,,,,,,,,
4,1,13,9,8,176.715,1,,,,,,,,,4,1,13,0.296296,2.24999,0.0000774597
4,1,14,165,653.553,0.485436,1,,,,,,,,,4,1,14,38.57,0.854922,0.918343
4,1,15,9,8,176.715,1,,,,,,,,,4,1,15,0.296296,2.24999,0.0000774597
4,1,16,15,12,1.309,0.6,,,,,,,,,4,1,16,0.888888,1.875,0.904534
4,1,17,15,12,1.309,166.667,,,,,,,,,4,1,17,0.888888,1.875,0.904534
4,1,18,32,182.426,120.833,1,,,,,,,,,4,1,18,2.59633,1.3913,0.471459
4,1,19,12,10,150.796,133.333,,,,,,,,,4,1,19,0.541666,2,0.8
4,1,20,52,236.569,116.761,0.875,,,,,,,,,4,1,20,5.05769,1.3,0.521346
4,1,21,117,440.416,0.758,0.933333,,,,,,,,,4,1,21,16.051,1.06849,0.852612
4,1,22,24,202.426,0.736015,116.667,,,,,,,,,4,1,22,2.66932,1.14286,0.829319
4,1,23,38,202.426,116.536,0.857143,,,,,,,,,4,1,23,3.31613,1.35714,0.611434
4,1,24,9,8,176.715,1,,,,,,,,,4,1,24,0.296296,2.24999,0.0000774597
4,1,25,12,10,150.796,133.333,,,,,,,,,4,1,25,0.541666,2,0.8
4,1,26,9,8,176.715,1,,,,,,,,,4,1,26,0.296296,2.24999,0.0000774597
4,1,27,9,8,176.715,1,,,,,,,,,4,1,27,0.296296,2.24999,0.0000774597
4,1,28,28,188.284,0.992521,2,,,,,,,,,4,1,28,2.76979,1.47368,0.916931
4,1,29,24,174.142,0.99452,0.571429,,,,,,,,,4,1,29,2.17824,1.5,0.91013
4,1,30,9,8,176.715,1,,,,,,,,,4,1,30,0.296296,2.24999,0.0000774597
4,1,31,9,8,176.715,1,,,,,,,,,4,1,31,0.296296,2.24999,0.0000774597
4,1,32,9,8,176.715,1,,,,,,,,,4,1,32,0.296296,2.24999,0.0000774597
4,1,33,25,168.284,110.934,1.75,,,,,,,,,4,1,33,2.12493,1.51515,0.876391
4,1,34,18,14,115.405,2,,,,,,,,,4,1,34,1.34259,1.8,0.944749
4,1,37,12,10,150.796,133.333,,,,,,,,,4,1,37,0.541666,2,0.8
4,1,38,12,10,150.796,0.75,,,,,,,,,4,1,38,0.541666,2,0.8
4,1,39,32,208.284,0.92693,116.667,,,,,,,,,4,1,39,2.8793,1.28,0.633769
4,1,40,26,162.426,123.843,1.2,,,,,,,,,4,1,40,2.01129,1.48571,0.624797
4,1,41,12,10,150.796,133.333,,,,,,,,,4,1,41,0.541666,2,0.8
4,1,42,34,208.284,0.984863,0.857143,,,,,,,,,4,1,42,2.88946,1.30769,0.625343
4,1,43,99,41.799,0.712055,0.6875,,,,,,,,,4,1,43,16.5783,1.13143,0.934461
4,1,44,15,12,1.309,0.6,,,,,,,,,4,1,44,0.888888,1.875,0.904534
4,1,45,12,10,150.796,0.75,,,,,,,,,4,1,45,0.541666,2,0.8
4,1,46,33,196.569,107.324,0.625,,,,,,,,,4,1,46,3.03543,1.375,0.826841
4,1,47,15,12,1.309,0.6,,,,,,,,,4,1,47,0.888888,1.875,0.904534
4,1,48,39,242.426,0.833901,0.875,,,,,,,,,4,1,48,3.67943,1.16418,0.642826
4,1,49,9,8,176.715,1,,,,,,,,,4,1,49,0.296296,2.24999,0.0000774597
4,1,50,43,222.426,109.221,133.333,,,,,,,,,4,1,50,4.0887,1.34375,0.734563
4,1,51,15,12,1.309,0.6,,,,,,,,,4,1,51,0.888888,1.875,0.904534
4,1,52,18,14,115.405,2,,,,,,,,,4,1,52,1.34259,1.8,0.944749
4,1,53,79,347.279,0.823151,1,,,,,,,,,4,1,53,9.28011,1.13669,0.790591
4,1,54,28,168.284,124.246,0.833333,,,,,,,,,4,1,54,2.16082,1.47368,0.616269
4,1,55,9,8,176.715,1,,,,,,,,,4,1,55,0.296296,2.24999,0.0000774597
4,1,56,48,322.426,0.580216,111.111,,,,,,,,,4,1,56,7.50354,0.979592,0.756276
4,1,57,9,8,176.715,1,,,,,,,,,4,1,57,0.296296,2.24999,0.0000774597
4,1,58,63,284.853,0.975684,0.8,,,,,,,,,4,1,58,6.58716,1.18868,0.695293
4,1,59,15,12,1.309,166.667,,,,,,,,,4,1,59,0.888888,1.875,0.904534
4,1,60,9,8,176.715,1,,,,,,,,,4,1,60,0.296296,2.24999,0.0000774597
4,1,61,59,342.426,0.632306,0.666667,,,,,,,,,4,1,61,9.80363,1.02609,0.880715
4,1,62,151,585.269,0.553956,123.529,,,,,,,,,4,1,62,38.4067,1.01003,0.956336
4,1,63,36,20,113.097,1,,,,,,,,,4,1,63,2.89352,1.44,0.0000332142
4,1,64,40,236.569,0.898164,1.5,,,,,,,,,4,1,64,4.07765,1.23077,0.785588
4,1,65,29,174.142,120.171,0.833333,,,,,,,,,4,1,65,2.22227,1.48718,0.63289
4,1,66,15,12,1.309,0.6,,,,,,,,,4,1,66,0.888888,1.875,0.904534
4,1,67,22,148.284,125.731,1.5,,,,,,,,,4,1,67,1.6471,1.57143,0.814365
4,1,68,32,202.426,0.981354,0.857143,,,,,,,,,4,1,68,2.99277,1.33333,0.78167
4,1,69,32,202.426,0.981354,116.667,,,,,,,,,4,1,69,2.69214,1.28,0.557887
4,1,70,37,228.284,0.892195,1,,,,,,,,,4,1,70,3.31231,1.23333,0.512075
4,1,71,12,10,150.796,133.333,,,,,,,,,4,1,71,0.541666,2,0.8
4,1,72,39,216.569,104.492,133.333,,,,,,,,,4,1,72,3.62085,1.3,0.722173
4,1,73,29,188.284,102.797,1,,,,,,,,,4,1,73,2.39852,1.34884,0.697877
4,1,74,60,329.706,0.693599,0.833333,,,,,,,,,4,1,74,10.51,1.17647,0.954669
4,1,75,8,8,15.708,0.5,,,,,,,,,4,1,75,0.3125,2.66666,1
4,1,76,75,330.711,0.861737,185.714,,,,,,,,,4,1,76,9.85007,1.1811,0.891563
4,1,77,18,134.142,125.705,0.8,,,,,,,,,4,1,77,1.11478,1.63636,0.729903
4,1,78,78,387.279,0.653516,0.714286,,,,,,,,,4,1,78,13.9355,1.10638,0.952839
4,1,79,110,455.563,0.666047,0.647059,,,,,,,,,4,1,79,18.1669,1.04265,0.916874
4,1,80,34,194.142,113.357,0.714286,,,,,,,,,4,1,80,2.90867,1.44681,0.772059
4,1,81,29,188.284,102.797,1.4,,,,,,,,,4,1,81,2.56806,1.38095,0.847723
4,1,82,15,12,1.309,166.667,,,,,,,,,4,1,82,0.888888,1.875,0.904534
4,1,83,20,14,128.228,0.8,,,,,,,,,4,1,83,1.25,1.66667,0.701269
4,1,84,9,8,176.715,1,,,,,,,,,4,1,84,0.296296,2.24999,0.0000774597
4,1,85,39,250.711,0.779702,0.777778,,,,,,,,,4,1,85,4.37593,1.09859,0.769619
4,1,86,27,182.426,101.953,1,,,,,,,,,4,1,86,2.31611,1.35,0.78352
4,1,87,58,282.426,0.91375,0.545455,,,,,,,,,4,1,87,6.94624,1.26087,0.885515
4,1,88,48,244.853,10.061,1,,,,,,,,,4,1,88,4.79525,1.26316,0.63085
4,1,89,26,176.569,104.799,1,,,,,,,,,4,1,89,2.10897,1.3,0.715282
4,1,90,33,194.142,110.023,0.714286,,,,,,,,,4,1,90,2.74841,1.43478,0.759871
4,1,91,33,242.426,0.705609,0.875,,,,,,,,,4,1,91,3.98575,1.08197,0.791276
4,1,92,52,276.569,0.854295,1.125,,,,,,,,,4,1,92,5.51162,1.14286,0.571178
4,1,93,12,10,150.796,0.75,,,,,,,,,4,1,93,0.541666,2,0.8
4,1,94,6,6,209.439,0.666667,,,,,,,,,4,1,94,0.138889,2.99999,1
4,1,95,40,230.711,0.944353,0.666667,,,,,,,,,4,1,95,3.90075,1.25,0.816721
4,1,96,12,10,150.796,0.75,,,,,,,,,4,1,96,0.541666,2,0.8
4,1,97,9,8,176.715,1,,,,,,,,,4,1,97,0.296296,2.24999,0.0000774597
4,1,98,19,134.142,132.688,1.25,,,,,,,,,4,1,98,1.19921,1.65217,0.696279
4,1,99,9,8,176.715,1,,,,,,,,,4,1,99,0.296296,2.24999,0.0000774597
4,1,100,24,174.142,0.99452,0.833333,,,,,,,,,4,1,100,1.87747,1.41176,0.719413
4,1,101,18,134.142,125.705,0.8,,,,,,,,,4,1,101,1.11478,1.63636,0.729903
4,1,102,15,12,1.309,166.667,,,,,,,,,4,1,102,0.888888,1.875,0.904534
4,1,103,49,248.284,0.998867,114.286,,,,,,,,,4,1,103,4.71189,1.30667,0.686373
4,1,104,9,8,176.715,1,,,,,,,,,4,1,104,0.296296,2.24999,0.0000774597
4,1,105,6,6,209.439,0.666667,,,,,,,,,4,1,105,0.138889,2.99999,1
4,1,106,54,276.569,0.887152,0.888889,,,,,,,,,4,1,106,5.27205,1.17391,0.653213
4,1,107,6,6,209.439,1.5,,,,,,,,,4,1,107,0.138889,2.99999,1
4,1,108,6,6,209.439,1.5,,,,,,,,,4,1,108,0.138889,2.99999,1
4,1,109,6,6,209.439,1.5,,,,,,,,,4,1,109,0.138889,2.99999,1
4,2,1,12,10,150.796,133.333,,,,,,,,,4,2,1,0.541666,2,0.8
4,2,2,6,6,209.439,1.5,,,,,,,,,4,2,2,0.138889,2.99999,1
4,2,3,12,10,150.796,133.333,,,,,,,,,4,2,3,0.541666,2,0.8
4,2,4,29,208.284,0.84003,116.667,,,,,,,,,4,2,4,2.90996,1.23404,0.744955
4,2,5,9,8,176.715,1,,,,,,,,,4,2,5,0.296296,2.24999,0.0000774597
4,2,6,31,176.569,124.952,1,,,,,,,,,4,2,6,2.55197,1.40909,0.144937
4,2,7,21,16,103.084,0.428571,,,,,,,,,4,2,7,1.90476,1.75,0.964486
4,2,8,28,18,108.598,1.75,,,,,,,,,4,2,8,2.41071,1.55555,0.895148
4,2,9,19,134.142,132.688,1.25,,,,,,,,,4,2,9,1.19921,1.65217,0.696279
4,2,10,40,224.853,0.994199,114.286,,,,,,,,,4,2,10,3.76468,1.23077,0.606337
4,2,11,9,8,176.715,1,,,,,,,,,4,2,11,0.296296,2.24999,0.0000774597
4,2,12,21,16,103.084,0.428571,,,,,,,,,4,2,12,1.90476,1.75,0.964486
4,2,13,12,10,150.796,0.75,,,,,,,,,4,2,13,0.541666,2,0.8
4,2,14,41,248.284,0.835786,0.875,,,,,,,,,4,2,14,3.99446,1.18841,0.624467
4,2,15,9,8,176.715,1,,,,,,,,,4,2,15,0.296296,2.24999,0.0000774597
4,2,16,12,10,150.796,133.333,,,,,,,,,4,2,16,0.541666,2,0.8
4,2,17,20,14,128.228,1.25,,,,,,,,,4,2,17,1.25,1.66667,0.701269
4,2,18,30,18,116.355,1.2,,,,,,,,,4,2,18,2.27778,1.5,0.634099
4,2,19,73,367.279,0.680049,155.556,,,,,,,,,4,2,19,9.60261,1.02817,0.819826
4,2,20,16,12,139.626,1,,,,,,,,,4,2,20,0.843749,1.77778,0.0000538587
4,2,21,30,222.426,0.762006,1,,,,,,,,,4,2,21,3.31536,1.13208,0.811682
4,2,22,15,114.142,14.468,1,,,,,,,,,4,2,22,0.800217,1.7647,0.449734
4,2,23,12,10,150.796,133.333,,,,,,,,,4,2,23,0.541666,2,0.8
4,2,24,9,8,176.715,1,,,,,,,,,4,2,24,0.296296,2.24999,0.0000774597
4,2,25,9,8,176.715,1,,,,,,,,,4,2,25,0.296296,2.24999,0.0000774597
4,2,27,20,14,128.228,1.25,,,,,,,,,4,2,27,1.25,1.66667,0.701269
4,2,28,15,12,1.309,166.667,,,,,,,,,4,2,28,0.888888,1.875,0.904534
4,2,29,15,12,1.309,166.667,,,,,,,,,4,2,29,0.888888,1.875,0.904534
4,2,30,15,12,1.309,166.667,,,,,,,,,4,2,30,0.888888,1.875,0.904534
4,2,31,8,8,15.708,0.5,,,,,,,,,4,2,31,0.3125,2.66666,1
4,2,32,18,128.284,137.447,0.8,,,,,,,,,4,2,32,1.1459,1.63636,0.672944
4,2,33,66,327.279,0.774314,0.75,,,,,,,,,4,2,33,8.37614,1.13793,0.869472
4,2,34,26,162.426,123.843,1.2,,,,,,,,,4,2,34,2.01129,1.48571,0.624797
4,2,35,9,8,176.715,1,,,,,,,,,4,2,35,0.296296,2.24999,0.0000774597
4,2,36,20,14,128.228,1.25,,,,,,,,,4,2,36,1.25,1.66667,0.701269
4,2,37,12,10,150.796,133.333,,,,,,,,,4,2,37,0.541666,2,0.8
4,2,38,40,248.284,0.815401,114.286,,,,,,,,,4,2,38,4.27922,1.17647,0.65742
4,2,39,9,8,176.715,1,,,,,,,,,4,2,39,0.296296,2.24999,0.0000774597
4,2,40,23,168.284,102.059,0.571429,,,,,,,,,4,2,40,2.12526,1.48387,0.90975
4,2,41,23,154.142,121.645,1.5,,,,,,,,,4,2,41,1.70923,1.58621,0.825816
4,2,42,47,248.284,0.958097,0.875,,,,,,,,,4,2,42,4.57961,1.25333,0.656001
4,2,43,30,182.426,113.281,1.4,,,,,,,,,4,2,43,2.53663,1.42857,0.772309
4,2,44,76,341.421,0.819298,1,,,,,,,,,4,2,44,10.6534,1.16923,0.896106
4,2,45,18,128.284,137.447,0.8,,,,,,,,,4,2,45,1.1459,1.63636,0.672944
4,2,46,26,168.284,115.371,0.571429,,,,,,,,,4,2,46,2.26602,1.52941,0.880819
4,3,1,16,128.284,122.175,2,,,,,,,,,4,3,1,1.1792,1.77778,0.929898
4,3,2,21,16,103.084,0.428571,,,,,,,,,4,3,2,1.90476,1.75,0.964486
4,3,3,19,134.142,132.688,0.8,,,,,,,,,4,3,3,1.19921,1.65217,0.696279
4,3,4,9,8,176.715,1,,,,,,,,,4,3,4,0.296296,2.24999,0.0000774597
4,3,5,21,188.284,0.744391,1,,,,,,,,,4,3,5,2.20599,1.2,0.838548
4,3,6,29,182.426,109.505,1,,,,,,,,,4,3,6,2.30587,1.38095,0.398706
4,3,7,33,222.426,0.838207,1,,,,,,,,,4,3,7,3.35193,1.17857,0.71166
4,3,8,40,282.426,0.630172,1.125,,,,,,,,,4,3,8,5.93565,1.02564,0.839191
4,3,9,72,330.711,0.827267,122.222,,,,,,,,,4,3,9,7.68936,1.10769,0.672363
4,3,10,15,114.142,14.468,1,,,,,,,,,4,3,10,0.800217,1.7647,0.449734
4,3,11,12,10,150.796,0.75,,,,,,,,,4,3,11,0.541666,2,0.8
4,3,12,18,134.142,125.705,1.25,,,,,,,,,4,3,12,1.11478,1.63636,0.729903
4,3,13,23,154.142,121.645,0.666667,,,,,,,,,4,3,13,1.70923,1.58621,0.825816
4,3,14,28,222.426,0.711206,1,,,,,,,,,4,3,14,3.17105,1.09804,0.790295
4,3,15,9,8,176.715,1,,,,,,,,,4,3,15,0.296296,2.24999,0.0000774597
4,3,16,32,216.569,0.857372,0.75,,,,,,,,,4,3,16,3.38728,1.18518,0.84197
4,3,17,72,327.279,0.844706,0.909091,,,,,,,,,4,3,17,8.88179,1.17073,0.824512
4,3,18,28,182.426,105.729,1,,,,,,,,,4,3,18,2.31633,1.33333,0.653386
4,3,19,19,134.142,132.688,1.25,,,,,,,,,4,3,19,1.19921,1.65217,0.696279
4,3,20,48,244.853,10.061,1,,,,,,,,,4,3,20,4.66342,1.24675,0.645609
4,3,21,9,8,176.715,1,,,,,,,,,4,3,21,0.296296,2.24999,0.0000774597
4,3,22,33,188.284,116.976,1.4,,,,,,,,,4,3,22,2.84848,1.43478,0.77008
4,3,23,9,8,176.715,1,,,,,,,,,4,3,23,0.296296,2.24999,0.0000774597
4,3,24,15,114.142,14.468,1,,,,,,,,,4,3,24,0.800217,1.7647,0.449734
4,3,25,23,154.142,121.645,1.5,,,,,,,,,4,3,25,1.70923,1.58621,0.825816
4,3,26,17,128.284,129.811,0.8,,,,,,,,,4,3,26,1.07647,1.61905,0.772038
4,3,27,23,168.284,102.059,1.75,,,,,,,,,4,3,27,2.12526,1.48387,0.90975
4,3,28,33,242.426,0.705609,114.286,,,,,,,,,4,3,28,3.56397,1.08197,0.743906
4,3,29,63,295.563,0.906252,1,,,,,,,,,4,3,29,7.83043,1.2,0.859896
4,3,30,62,307.279,0.825154,1,,,,,,,,,4,3,30,6.59271,1.07826,0.161469
4,3,31,12,10,150.796,133.333,,,,,,,,,4,3,31,0.541666,2,0.8
4,3,32,12,10,150.796,133.333,,,,,,,,,4,3,32,0.541666,2,0.8
4,4,1,15,12,1.309,166.667,,,,,,,,,4,4,1,0.888888,1.875,0.904534
